Time	F0(Hz)	Intensity(dB) F1(Hz) F2(Hz) 
Time	F0(Hz)	Intensity(dB) F1(Hz) F2(Hz) 
Time	F0(Hz)	Intensity(dB) F1(Hz) F2(Hz) 
Time	F0(Hz)	Intensity(dB) F1(Hz) F2(Hz) 
Time	F0(Hz)	Intensity(dB) F1(Hz) F2(Hz) 
Time	F0(Hz)	Intensity(dB) F1(Hz) F2(Hz) 
Time	F0(Hz)	Intensity(dB) F1(Hz) F2(Hz) 
Time	F0(Hz)	Intensity(dB) F1(Hz) F2(Hz) 
0.01 --undefined-- --undefined-- --undefined-- --undefined--
0.02 --undefined-- --undefined-- --undefined-- --undefined--
2.47 256.891 32.483 1519.055 1519.055
2.48 256.558 32.392 1515.347 1515.347
2.49 256.347 32.198 1519.863 1519.863
2.50 255.760 32.137 1523.311 1523.311
2.51 255.587 32.142 1503.243 1503.243
2.52 255.920 32.244 1514.022 1514.022
2.53 256.076 32.290 1516.183 1516.183
2.54 256.010 32.273 1512.546 1512.546
2.55 255.862 32.418 1504.460 1504.460
2.56 255.738 32.381 1520.168 1520.168
2.57 256.458 32.393 1490.962 1490.962
2.58 256.706 32.198 1518.851 1518.851
2.59 256.012 32.004 1487.533 1487.533
2.60 256.478 32.293 1501.233 1501.233
2.61 256.663 32.506 1513.257 1513.257
2.62 256.284 32.315 1498.546 1498.546
2.63 255.834 32.171 1496.768 1496.768
2.64 255.737 32.335 1520.236 1520.236
2.65 255.148 32.313 1498.544 1498.544
2.66 255.484 32.265 1508.144 1508.144
2.67 255.061 32.409 1503.503 1503.503
2.68 255.189 32.337 1511.522 1511.522
2.69 255.257 32.367 1503.989 1503.989
2.70 254.833 32.345 1500.816 1500.816
2.71 254.909 32.226 1494.272 1494.272
2.72 254.938 32.187 1499.264 1499.264
2.73 254.738 32.155 1508.730 1508.730
2.74 254.385 31.962 1508.089 1508.089
2.75 253.924 31.885 1502.357 1502.357
2.76 253.579 31.849 1509.639 1509.639
2.77 253.453 31.595 1504.104 1504.104
2.78 254.007 31.210 1498.788 1498.788
2.79 254.687 31.269 1518.009 1518.009
2.80 254.073 31.591 1504.907 1504.907
2.81 253.918 31.851 1501.958 1501.958
2.82 254.205 31.444 1509.029 1509.029
2.83 254.469 31.010 1498.418 1498.418
2.84 255.555 30.826 1525.458 1525.458
